Name,Industry,Sector,Headquarters,Founded,Notes,Private/State,Active/Defunct
BEML,Industrials,Commercial vehicles & parts,Bengaluru,1964,"Defense vehicles, heavy construction vehicles, rail vehicles",S,A
BGR Energy Systems,Industrials,Engineering and contracting services,Chennai,1952,,P,A
Bharat Aluminium Company,Basic materials,Aluminium,New Delhi,1965,"Aluminium, part ofVedanta Resources(UK)",P,A
Bharat Biotech,Health care,Pharmaceuticals & biotechnology,Hyderabad,1996,Drug development & vaccines,P,A
Bharat Dynamics Limited,Industrials,Aerospace & defense,Hyderabad,1970,"State-owned missiles, defense",S,A
Bharat Electronics,Industrials,Aerospace & defense,Bengaluru,1954,"State-owned electronics, defense",S,A
Bharat Forge,Industrials,Industrial engineering,Pune,1961,"Engineering and machinery, part ofKalyani Group",P,A
Bharat Heavy Electricals Limited,Industrials,Electrical components,New Delhi,1964,State electrical engineering,S,A
Bharat Petroleum,Energy,Oil refining & marketing,Mumbai,1976,"refineries, petrochemical",S,A
Bharat Sanchar Nigam Limited,Telecommunications,Telecommunications service providers,New Delhi,2000,Fixed-line telecommunications,S,A
BHAVINI,Energy,Alternative energy,Chennai,2003,State nuclear power generation,S,A
Bharti Airtel,Telecommunications,Telecommunications services,New Delhi,1995,Mobile network,P,A
Biocon,Health care,Pharmaceuticals & biotechnology,Bengaluru,1978,Pharmaceutical ingredients,P,A
Blue Star,Consumer goods,Consumer electronics,Mumbai,1943,Home appliances,P,A
BluSmart Mobility,Consumer goods,Auto services,Gurugram,2019,"Taxi services, ride-sharing",P,A
Bombay Dyeing,Basic materials,Textile products,Mumbai,1879,Textiles,P,A
Bonn Group of Industries,Consumer goods,Food products,Ludhiana,1985,Baked goods,P,A
Borosil,Industrials,Glass,Mumbai,1962,Glassware,P,A
BPL Group,Consumer goods,Consumer electronics,Palakkad,1963,"Consumer electronics, healthcare equipment",P,A
BrahMos Aerospace,Industrials,Aerospace & defense,New Delhi,1998,"State-owned missile systems, joint venture withTactical Missiles Corporation(Russia)",S,A
Brigade Enterprises,Real estate,Real estate,Bangalore,1986,Real estate,P,A
Britannia Industries,Consumer goods,Food products,Kolkata,1892,Food products,P,A
Café Coffee Day,Consumer services,Restaurants & bars,Bengaluru,1996,Cafe chain,P,A
Canara Bank,Financials,Banks,Bangalore,1906,State-owned bank,S,A
CaratLane,Retail,Specialty retailers,Chennai,2008,"Luxury items retail, owned byTitan Company",P,A
CEAT,Consumer goods,Tires,Mumbai,1958,Tyres,P,A
Celkon,Consumer goods,Consumer electronics,Hyderabad,2009,Mobile handsets,P,A
Central Bank of India,Financials,Banks,Mumbai,1911,Central bank,S,A
Centum Electronics,Industrials,Electronic & electrical equipment,Bangalore,1993,Electronics,P,A
Century Plyboards,Industrials,Building materials: other,Kolkata,1986,Plywood,P,A
CESC Limited,Utilities,Alternative electricity,Kolkata,1897,Thermal power generation,P,A
CG Power and Industrial Solutions,Industrials,Diversified industrials,Mumbai,1878,"Electrical engineering, power generation",P,A
Chennai Petroleum Corporation,Energy,Oil refining & marketing,Chennai,1965,"refineries, part ofIndian Oil Corporation",S,A
Cipla,Health care,Pharmaceuticals,Mumbai,1935,Pharma,P,A
City Union Bank,Financials,Banks,Kumbakonam,1904,Bank,P,A
CMC,Industrials,Business support services,New Delhi,1975,Information technology consulting,P,A
Coal India,Energy,Coal,Kolkata,1975,Coal mining,S,A
Cochin Minerals and Rutile Limited,Chemicals,Specialty chemicals,Kochi,1989,Minerals,P,A
Cochin Shipyard,Industrials,Shipbuilding,Kochi,1972,Ship building,S,A
Computer Age Management Services,Financials,Investment services,Chennai,1988,"Stock market, mutual funds",P,A
Container Corporation of India,Industrials,Railroads,New Delhi,1988,"Cargo rail transportation, part ofIndian Railways",S,A
Coromandel International,Chemicals,Fertilizers,Hyderabad,1960,"Fertilizers, pesticides",P,A
Cosmic Circuits,Technology,Semiconductors,Bengaluru,2005,Acquired byCadence Design Systems(USA),P,D
Crossword Bookstores,Retail,Specialty retailers,Mumbai,1992,Bookstore,P,A
CSB Bank,Financials,Banks,Thrissur,1920,Private bank,P,A
Cyient,Technology,Software & IT services,Hyderabad,1991,"Engineering outsourcing services, software management & technology consulting",P,A
Dabur,Health care,Ayurvedic producers,Ghaziabad,1884,Alternative medicines,P,A
Damodar Valley Corporation,Utilities,Conventional electricity,Kolkata,1948,Hydropower,S,A
Datamatics,Technology,Software,Mumbai,1987,"Software, BPO",P,A
Deccan Charters,Consumer services,Airlines,Bengaluru,1997,Charter airline,P,A
Dedicated Freight Corridor Corporation of India,Industrials,Railroads,New Delhi,2006,"Freight transport, part ofMinistry of Railways (India)",S,A
Dempo,Basic materials,General mining,Panaji,1941,Mining,P,A
Dena Bank,Financials,Banks,Mumbai,1938,State bank,S,A
Dish TV,Consumer services,Broadcasting & entertainment,Noida,2003,Satellite television,P,A
Dixon Technologies,Industrials,Electronic & electrical equipment,Noida,1993,Electronics manufacturing services,P,A
DLF,Real estate,Real estate holding & development,New Delhi,1946,Developer,P,A
DMart,Retail,Diversified retailers,Mumbai,2002,Shopping mall,P,A
Dr. Reddy's Laboratories,Health care,Pharmaceuticals,Hyderabad,1984,Pharma,P,A
Dynamatic Technologies,Industrials,Industrial engineering,Bangalore,1973,"Aerospace, automotive, hydraulics, security",P,A
EaseMyTrip,Consumer services,Travel & tourism,New Delhi,2008,Travel booking,P,A
Edelweiss Group,Financials,Financial services,Mumbai,1995,Finance & investment,P,A
Eicher Motors,Industrials,Commercial vehicles & parts,Gurugram,1948,"Bus, trucks",P,A
EID Parry,Consumer goods,Food products,Chennai,1788,"Sugar, distillery",P,A
Electronics Corporation of India Limited,Industrials,Electronic & electrical equipment,Hyderabad,1967,Nuclear electronics,S,A
eLitmus,Business services,Entry-level employment,Bangalore,2005,Assessment exam,P,A
Emami,Conglomerate,,Kolkata,1974,"Fast-moving consumer goods, healthcare, retail, cement, real estate",P,A
Emcure Pharmaceuticals,Health care,Pharmaceuticals,Pune,1983,Pharma,P,A
Engineers India,Industrials,Engineering and contracting services,New Delhi,1965,Engineering and consulting,S,A
English Indian Clays,Basic materials,General mining,New Delhi,1963,Clay,P,A
Escorts Kubota Limited,Industrials,Industrial engineering,Faridabad,1960,"Heavy equipment, machines",P,A
Essar Group,Conglomerate,,Mumbai,1969,"Steel, oil & gas, shipping, real estate",P,A
Essel Group,Conglomerate,,Mumbai,1926,"Media, technology, basic materials",P,A
Eureka Forbes,Consumer goods,Consumer electronics,Mumbai,1982,Home appliances,P,A
Eveready Industries India,Consumer goods,Durable household products,Kolkata,1905,"Batteries, flashlights, lamps",P,A
Exide Industries,Industrials,Electrical components,Kolkata,1947,Batteries,P,A
Exide Life Insurance,Financials,Life insurance,Bengaluru,2001,"Life insurance, part ofExide Industries",P,A
Federal Bank,Financials,Banks,Kochi,1931,Private bank,P,A
Firstsource,Industrials,Business support services,Mumbai,2001,BPO,P,A
Flipkart,Technology,Consumer digital services,Bengaluru,2007,E-commerce,P,A
Forbes & Company Limited,Conglomerate,,Mumbai,1767,"Banking kiosk, ATM, robotics, industrial automation, logistics, part ofShapoorji Pallonji Group",P,A
Force Motors,Consumer goods,Automobiles,Pune,1958,Automotive,P,A
Fortis Healthcare,Health care,Health care providers,Gurugram,2001,Hospitals,P,A
Future Group,Retail,Diversified retailers,Mumbai,1987,"Defunct 2022, acquired byReliance Industries",P,D
GAIL,Utilities,Gas distribution,New Delhi,1984,Natural gas,S,A
Galaxy Surfactants,Chemicals,Specialty chemicals,Navi Mumbai,1980,Chemicals,P,A
Garden Reach Shipbuilders & Engineers,Industrials,Shipbuilding,Kolkata,1884,Ship building,S,A
Geojit Financial Services,Financials,Investment services,Kochi,1987,Investment advisory services,P,A
Gini & Jony,Consumer goods,Clothing & accessories,Mumbai,1980,Children's clothes,P,A
Glenmark Pharmaceuticals,Health care,Pharmaceuticals,Mumbai,1977,Pharma,P,A
Gliders India,Industrials,Defense,Nagpur,2021,Military parachute manufacturer,S,A
GMR Group,Real estate,Real estate holding & development,New Delhi,1978,Development projects,P,A
Go First,Consumer services,Airlines,Mumbai,2005,Low-cost airline,P,A
Goa Shipyard,Industrials,Shipbuilding,Goa,1957,Ship building,S,A
Godrej Group,Conglomerate,,Mumbai,1897,"Aerospace, consumer goods, real estate",P,A
Great Eastern Shipping,Industrials,Marine transportation,Mumbai,1948,Shipping,P,A
Greaves Cotton,Industrials,Industrial engineering,Mumbai,1859,"Engines, gensets, construction equipment, farm equipment & pumps",P,A
Greenply,Industrials,Building materials: other,Tinsukia,1990,Plywood,P,A
Gujarat Alkalies and Chemicals Limited,Chemicals,Specialty chemicals,Noida,1973,Produce chemicals,S,A
Gujarat Mineral Development Corporation,Basic materials,General mining,Ahmedabad,1963,"Mining, metals",S,A
Gujarat State Fertilizers and Chemicals,Chemicals,Fertilizers,Vadodara,1962,Fertilizers,S,A
Gujarat State Petroleum Corporation,Energy,Oil refining & marketing,Ahmedabad,1979,Petrochemicals refining,S,A
GVK Industries,Conglomerate,,Hyderabad,2005[4],"Energy, transportation, hospitality",P,A
Haldiram's,Consumer goods,Food products,Bikaner,1937,Sweets and snacks,P,A
Haptik,Technology,Software,Mumbai,2013,"AI Software, part ofJio Platforms",P,A
Hatsun Agro Product,Consumer goods,Food products,Chennai,1970,"Arun Icecreams, Arokya Milk, Hatsun Daily, Ibaco, Oyalo, Santosa",P,A
Havells,Industrials,Electrical components,Noida,1958,Electrical equipment,P,A
Hawkins Cookers,Consumer goods,Durable household products,Mumbai,1921,Cookware,P,A
HCLTech,Industrials,Business support services,Noida,1976,Consulting,P,A
HDFC Bank,Financials,Banks,Mumbai,1994,Bank,P,A
HDIL,Real estate,Real estate holding & development,Mumbai,1996,Real estate development,P,A
Hero Cycles,Consumer goods,Recreational vehicles,Ludhiana,1956,"Bicycles, part ofHero Motors",P,A
Hero FinCorp,Financials,Financial services,New Delhi,1991,"Financing, part ofHero MotoCorp",P,A
Hero MotoCorp,Consumer goods,Automobiles,Gurugram,1984,"Motorcycles, part ofHero Motors",P,A
HFCL,Telecommunications,Telecommunications equipment,New Delhi,1987,"Optical fiber, telecom equipment",P,A
Himalaya Wellness Company,Health care,Ayurvedic producers,Bengaluru,1930,Alternative medicines,P,A
Hindalco Industries,Basic materials,Aluminium,Mumbai,1958,Aluminium,P,A
Hinduja Group,Conglomerate,,Mumbai,1914,"Automotive, financial services, energy, media, telecom, healthcare",P,A
Hinduja Healthcare,Health care,Health care providers,Mumbai,?,"Hospitals, part ofHinduja Group",P,A
Hindustan Aeronautics Limited,Industrials,Aerospace & defense,Bengaluru,1940,"State-owned aircraft, defense",S,A
Hindustan Construction Company,Real estate,Real estate holding & development,Mumbai,1926,Real estate development,P,A
Hindustan Copper,Basic materials,Copper,Kolkata,1967,State-run mining,S,A
Hindustan Motors,Consumer goods,Automobiles,Kolkata,1942,"Automotive, part ofCK Birla Group",P,A
Hindustan Petroleum,Energy,Oil refining & marketing,Mumbai,1974,"refineries, part ofOil and Natural Gas Corporation",S,A
Hindustan Shipyard,Industrials,Shipbuilding,Visakhapatnam,1941,Ship building,S,A
Hindustan Times,Consumer services,Publishing,New Delhi,1924,Daily newspaper,P,A
Hindustan Unilever,Consumer goods,Food & personal products,Mumbai,1933,Unilever(UK) owns 61.90%,P,A
Hindustan Zinc,Basic materials,Nonferrous metals,Udaipur,1966,"Zinc mining, part ofVedanta Resources(UK)",P,A
HLL Lifecare,Health care,Pharmaceuticals & medical equipment,Thiruvananthapuram,1966,"State-owned condoms, contraceptives & surgical equipment manufacturing",S,A
HMT Limited,Industrials,Diversified industrials,Bengaluru,1953,State-owned manufacturing,S,A
Housing Development Finance Corporation,Financials,Financial services,Mumbai,1977,Housing finance,P,A
iball,Consumer goods,Consumer electronics,Mumbai,2001,"Computers, consumer items",P,A
ICICI Bank,Financials,Banks,Mumbai,1994,International bank,P,A
IDBI Bank,Financials,Banks,Mumbai,1964,State bank,S,A
IDFC First Bank,Financials,Banks,Mumbai,2015,Part ofIDFC,P,A
Indegene,Health care,Health care services,Bangalore,1998,Pharmaceutical consultancy,P,A
India Cements,Industrials,Cement,Tirunelveli,1946,Cement,P,A
India Optel,Industrials,Electronic & electrical equipment,Dehradun,2021,"Opto-electronics, defense products",S,A
Indiabulls,Financials,Financial services,Gurugram,2000,Finance,P,A
India Infoline,Financials,Financial services,Mumbai,1995,Financial services,P,A
Indian Bank,Financials,Banks,Chennai,1907,State-owned financial services,S,A
Indian Hotels Company Limited,Consumer services,Hotels & motels,Mumbai,1902,"Hospitality group,Taj Hotels,Vivanta,Ginger Hotels, part ofTata Sons",P,A
Indian Oil Corporation,Energy,Oil refining & marketing,New Delhi,1959,Petrochemicals refining,S,A
Indian Overseas Bank,Financials,Banks,Chennai,1937,Public bank,S,A
Indian Railway Finance Corporation,Financials,Financial services,New Delhi,1976,"Railway finance, part ofIndian Railways",S,A
Indian Railways,Industrials,Railroads,New Delhi,1853,State railway,S,A
Indian Railway Stations Development Corporation,Industrials,Railroads,New Delhi,2012,Railway station redevelopment,P,D
Indian Telephone Industries Limited,Telecommunications,Telecommunications equipment,Bengaluru,1949,State telecom equipment,S,A
IndiGo,Consumer services,Airlines,Gurugram,2006,Low-cost airline,P,A
IndusInd Bank,Financials,Banks,Mumbai,1994,Bank,P,A
Infibeam,Technology,Consumer digital services,Ahmedabad,2007,"E-commerce, fintech",P,A
Infosys,Industrials,Business support services,Bengaluru,1981,Consulting,P,A
Infrastructure Development Finance Company,Financials,Asset managers,Chennai,1997,"Finance, advice",S,A
Infrastructure Leasing & Financial Services,Financials,Financial services,Mumbai,1987,Infrastructure development,S,A
InMobi,Technology,Consumer digital services,Bangalore,2007,Online marketing,P,A
Inox Air Products,Industrials,Industrial suppliers,Mumbai,1963,Industrial gases,P,A
Inox Wind,Utilities,Alternative electricity,Noida,1963,Wind power,P,A
Integral Coach Factory,Industrials,Railroad equipment,Chennai,1955,Part ofIndian Railways,S,A
Intelenet Global Services,Industrials,Business support services,Mumbai,2000,"Consulting, BPO",P,A
Intex Technologies,Consumer goods,Consumer electronics,New Delhi,1996,"Consumer electronics, mobile handsets",P,A
Ircon International,Industrials,Construction,New Delhi,1976,"Railway constructions, part ofIndian Railways",S,A
ITC Limited,Conglomerate,,Kolkata,1910,"Consumer goods, hotels, industrials",P,A
Ittiam Systems,Technology,Software & IT services,Bengaluru,2001,Digital signal processing services,P,A
Jabong.com,Technology,Consumer digital services,Gurugram,2012,"E-commerce portal, defunct 2020",P,D
Jain Irrigation Systems,Industrials,Agricultural & farm machinery,Jalgaon,1986,Irrigation equipment,P,A
Jakson Group,Industrials,Industrial engineering,Noida,1947,"Diesel generators, solar PV modules",P,A
Jawa Motorcycles,Consumer goods,Automobiles,Mysuru,1960,"Motorcycles, joint venture ofMahindra & Mahindra&Jawa Moto(Czechia)",P,A
ISRO,Industrials,"Aerospace, space industry",Bengaluru,1962,"State-owned aerospace research, launch vehicles & satellites",S,A
Jaypee Group,Conglomerate,,Noida,1979,"Engineering, real estate, cement",P,A
Jet Airways,Consumer services,Airlines,Mumbai,1992,Revived in 2022,P,A
Jio-bp,Energy,Integrated oil & gas,Ahmedabad,2008,"Oil & gas exploration and production, joint venture ofReliance Industries&BP(UK)",P,A
Jio,Telecommunications,Telecommunications services,Navi Mumbai,2007,"Mobile network, part ofJio Platforms",P,A
Jio Platforms,Conglomerate,,Navi Mumbai,2019,"Telecommunications, e-commerce, media, streaming, online services, virtual reality, part ofReliance Industries",P,A
Jindal Stainless,Basic materials,Iron & steel,New Delhi,1970,Steel,P,A
Jindal Steel and Power,Basic materials,Iron & steel,New Delhi,1952,Steel,P,A
Jupiter Wagons,Railways,Railway equipment & wagons,Kolkata,1979,Railways,P,A
JSW Energy,Utilities,Conventional electricity,Mumbai,1994,"Hydropower & thermal power, part ofJSW Group",P,A
JSW Group,Conglomerate,,Mumbai,1982,"Automotive, steel, energy, infrastructure, cement, paint, financials",P,A
JSW MG Motor India,Consumer goods,Automobiles,Gurugram,2017,"Automotive, joint venture ofJSW Group&SAIC Motor(China)",P,A
JSW Steel,Basic materials,Iron & steel,Mumbai,1982,"Steel, part ofJSW Group",P,A
Jubilant FoodWorks,Consumer services,Restaurants & bars,Noida,1995,Food services,P,A
K Raheja Corp,Real estate,Real estate,Mumbai,1956,"IT Parks, parent company ofRaheja Mindspace",P,A
Kalyani Group,Conglomerate,,Pune,?,"Engineering, steel, automotive, defense, energy, infrastructure",P,A
Karbonn Mobiles,Consumer goods,Consumer electronics,New Delhi,2009,Mobile handsets,P,A
Karnataka Bank,Financials,Banks,Mangaluru,1924,Bank,P,A
Karur Vysya Bank,Financials,Banks,Karur,1916,Bank,P,A
Kerala Automobiles Limited,Consumer goods,Automobiles,Thiruvananthapuram,1978,Auto-rickshaws,P,A
Kerala Electrical and Allied Engineering Company,Industrials,Electrical components,Kochi,1964,Heavy electricals,S,A
Khadim's,Consumer goods,Footwear,Kolkata,1981,Footwear,P,A
Kingfisher,Consumer goods,Beverages,Bangaluru,1857,"Alcoholic beverages, brewery, part ofUnited Breweries Group(Netherlands)",P,A
Kirloskar Group,Conglomerate,,Pune,1888,"Industrials, construction, automotive",P,A
Kokuyo Camlin,Consumer goods,Nondurable household products,Mumbai,1931,"Pens, stationery",P,A
Konkan Railway Corporation,Industrials,Railroads,Navi Mumbai,1990,"Railway, part ofIndian Railways",S,A
Kotak Mahindra Bank,Financials,Banks,Mumbai,1965,Bank,P,A
KPIT Technologies,Consumer goods,Automobiles & parts,Pune,1990,Automotive engineering & technologies,P,A
KSK Energy Ventures,Utilities,Alternative electricity,Hyderabad,2001[5],Thermal power generation,P,A
Kudremukh Iron Ore Company,Basic materials,Iron & steel,Mangaluru,1976,"Mining, iron",S,A
Lakshmi Machine Works,Industrials,Diversified industrials,Coimbatore,1962,Machinery,P,A
Lakshmi Vilas Bank,Financials,Banks,Chennai,1926,Bank,P,A
Lanco Infratech,Conglomerate,,New Delhi,1986,"Power, real estate, distribution",P,A
Larsen & Toubro,Conglomerate,,Mumbai,1938,"Industrials, ships, equipment, defense",P,A
Lava International,Consumer goods,Consumer electronics,Noida,2009,"Computers, mobile handsets",P,A
Liberty Shoes,Consumer goods,Footwear,Karnal,1954,Footwear,P,A
Life Insurance Corporation,Financials,Life insurance,Mumbai,1956,State-owned Insurance company,S,A
Living Media,Consumer services,Publishing,New Delhi,1975,Publisher,P,A
LYF,Consumer goods,Consumer electronics,Mumbai,2015,"Computers, mobile handsets, part ofJio Platforms",P,A
Mahanadi Coalfields,Energy,Coal,Sambalpur,1992,Coal mining,S,A
Mahindra Aerospace,Industrials,Aerospace,Mumbai,2003,Light aircraft manufacturer,P,A
Mahindra & Mahindra,Consumer goods,Automobiles,Mumbai,1945,Automotive,P,A
Mahindra Group,Conglomerate,,Mumbai,1945,"Automotive, IT services, finance, hospitality, agribusiness, aerospace, defense, logistics, real estate",P,A
MakeMyTrip,Technology,Consumer digital services,Gurugram,2000,Travel & tourism,P,A
Mangalore Chemicals & Fertilizers,Chemicals,Fertilizers,Bengaluru,1974,Fertilizers,P,A
Mangalore Refinery and Petrochemicals Limited,Energy,Oil refining & marketing,Mangaluru,1988,"Refineries, part ofOil and Natural Gas Corporation",S,A
Marico,Consumer goods,Personal products,Mumbai,1991,Health and beauty,P,A
Maruti Suzuki,Consumer goods,Automobiles,New Delhi,1981,"Automotive, part ofSuzuki(Japan)",P,A
Mastek,Industrials,Business support services,Mumbai,1982,Consulting,P,A
Max Group,Conglomerate,,New Delhi,1985,"Investment, financial services, healthcare",P,A
Max Healthcare,Health care,Health care providers,New Delhi,2001,Part ofMax Group,P,A
Max Life Insurance,Financials,Life insurance,New Delhi,2001,Part ofMax Group,P,A
Max Ventures and Industries,Real estate,Real estate,New Delhi,2015,Part ofMax Group,P,A
Mazagon Dock Shipbuilders,Industrials,Shipbuilding,Mumbai,1934,Ship building,S,A
MECON,Industrials,Business support services,Ranchi,1973,Consulting,S,A
Mercator,Industrials,Marine transportation,Mumbai,1983,Shipping,P,A
Metro Brands,Consumer goods,Footwear,Mumbai,1947,Footwear,P,A
Microland,Technology,Software,Bengaluru,1989,Software consulting,P,A
Micromax Informatics,Consumer goods,Consumer electronics,Gurugram,2000,"Consumer electronics, mobile handsets",P,A
Milky Mist Dairy,Consumer goods,Food products,Erode,1992,Dairy,P,A
Mindtree,Industrials,Business support services,Bengaluru,1999,"Consulting, outsourcing",P,A
Mishra Dhatu Nigam,Industrials,Metal fabricating,Hyderabad,1973,Alloys,P,A
Mistral Solutions,Industrials,Business support services,Bengaluru,1997,"Consulting, product design",P,A
MKU,Industrials,Defense,Kanpur,1985,Military equipment,P,A
MMTC Ltd,Financials,Investment services,New Delhi,1963,Foreign exchange,S,A
"Modern Coach Factory, Raebareli",Industrials,Railroad equipment,Raebareli,2012,Part ofIndian Railways,S,A
MOIL,Basic materials,General mining,Nagpur,1962,Mining,S,A
Moser Baer,Technology,Computer hardware,New Delhi,1983,"Defunct in 2018, acquired byVinpower, Inc.(USA)",P,D
Mother Dairy,Consumer goods,Food products,Noida,1974,Dairy,S,A
Mphasis,Industrials,Business support services,Bengaluru,2000,"Consulting, outsourcing",P,A
MRF,Consumer goods,Tires,Chennai,1946,Tyres,P,A
MS Shoes,Consumer goods,Footwear,Delhi,1986,Footwear,P,A
MSTC Limited,Technology,Consumer digital services,Kolkata,1964,"Metal trading, e-commerce",S,A
Mukand,Basic materials,Iron & steel,Mumbai,1937,Steel,P,A
Munitions India,Industrials,Defense,Kanpur,2021,Munitions,S,A
Murugappa Group,Conglomerate,,Chennai,1900,"Cycles, general insurance, fertilizers, abrasives, automotive chains, car door frames, steel tubes & gearboxes",P,A
Muthoot Finance,Financials,Investment services,Kochi,1939,"Financial advice, trading",P,A
Myntra,Technology,Consumer digital services,Bengaluru,2009,E-commerce,P,A
National Aluminium Company,Basic materials,Aluminium,Bhubaneswar,1981,Aluminium,S,A
National Fertilizers,Chemicals,Fertilizers,Noida,1974,Fertilizers,S,A
National Mineral Development Corporation,Basic materials,General mining,Hyderabad,1958,Mining,S,A
National Payments Corporation of India,Technology,Consumer digital services,Mumbai,2008,Digital payment,S,A
Nayara Energy,Energy,Oil refining & marketing,Mumbai,2017,"Major stock owned byRosneft(Russia), 49.13%",P,A
NBC Bearings,Industrials,Electrical components,Jaipur,1946,Bearings,P,A
NBCC,Real estate,Real estate holding & development,New Delhi,1960,State-owned developer,S,A
NDTV,Consumer services,Broadcasting & entertainment,New Delhi,1988,Television,P,A
Nectar Lifesciences,Health care,Pharmaceuticals,Chandigarh,1995,Pharma,P,A
Network18 Group,Consumer services,Broadcasting & entertainment,Noida,1993,"Mass media, part ofReliance Industries",P,A
NHPC,Utilities,Conventional electricity,Faridabad,1975,Hydroelectric,S,A
NIIT,Industrials,Business support services,Gurugram,1981,Consulting,P,A
Nilkamal Plastics,Chemicals,Specialty chemicals,Mumbai,1981,Industrial and consumer plastics,P,A
Nirma,Chemicals,Specialty chemicals,Ahmedabad,1990,"Chemicals, cement, fast moving consumer goods",P,A
NLC India Limited,Utilities,Alternative electricity,Neyveli,1956,Thermal power generation,S,A
NTPC Limited,Utilities,Alternative electricity,New Delhi,1975,Thermal power generation,S,A
